Hoạt chất Amoxicillin 500 mg dưới dạng amoxicillin trihydrat đậm đặc 574 mg với nồng độ bù 615 4 mg axit clavulanic 125 mg dưới dạng clavulanate kali Avicel 297 5 mg với nồng độ bù 333 7 mg tá dược don XL 10 Avicel 112 Sepifilm LP 770 vừa đủ 1 viên,thuoc khang sinh
Hoạt chất Amoxicillin 500 mg dưới dạng Amoxicillin trihydrat ép đùn 574 mg Hàm lượng bù 615 4 mg Axit Clavulanic 125 mg dưới dạng Kali clavulanate Avicel 297 5 mg Hàm lượng bù 333 7 mg Tá dược silicon dioxide keo Chất Magiê Stearate Natri Carmellose L HPC Polyplasdon XL 10 Avicel 112 Sepifilm LP 770 đủ 1 viên.,thuoc khang sinh
Hoạt chất Amoxicillin 500 mg dưới dạng Amoxicillin trihydrat nén 574 mg Hàm lượng bù 615 4 mg Axit Clavulanic 125 mg dưới dạng Clavulanic kali Avicel 297 Hàm lượng bù 5 mg 333 7 mg Tá dược Colloidal silicon dioxide Magiê stearat Croscarmellose natri L HPC Polyplasdon XL 10 Avicel 112 Sepifilm LP 770 đủ 1 viên,thuoc khang sinh
Hoạt chất amoxicillin 500 mg amoxicillin trihydrate nén 574 mg hàm lượng bù 615 4 mg Axit Clavulanic 125 mg hàm lượng bù Clavulanate kali Avicel 297 5 mg hàm lượng bù 333 7 mg Tá dược keo Silica Stearate Croscarmellose Natri L HPC Polyplasdon XL 10 Avicel 112 Sepifilm LP 770 Đủ 1 viên,thuoc khang sinh
Hoạt chất Amoxicillin 500 mg dạng nén Amoxicillin dạng trihydrat 574 mg Hàm lượng bù 615 4 mg Axit Clavulanic 125 mg Kali clavulanate Avicel 297 Hàm lượng bù 5 mg 333 7 mg Tá dược Colloidal silicon dioxide stearate Croscarmellose natri L HPC Polyplasdon XL 10 Avicel 112 Sepifilm LP 770 là đủ cho 1 viên,thuoc khang sinh
Điều trị ngắn hạn dưới 14 ngày đối với các trường hợp nhiễm khuẩn do các chủng sinh beta-lactamase không đáp ứng với điều trị bằng các aminopenicillin đơn lẻ Nhiễm trùng đường hô hấp trên nặng Viêm amiđan Viêm xoang Viêm tai giữa Đã điều trị bằng kháng sinh thông thường nhưng không thuyên giảm Nhiễm trùng đường hô hấp dưới do Henzae và Moraxella catarrhalis trước đây gọi là Branhamella catarrhalis sinh beta lactamase Viêm phế quản cấp tính và mãn tính Viêm phổi phế quản Nhiễm trùng đường tiết niệu nặng nhiễm trùng niệu sinh dục do các chủng E coli sinh beta lactamase nhạy cảm Klebsiella và Enterobacter Viêm bàng quang Viêm niệu đạo Viêm bể thận Nhiễm trùng đường sinh dục nữ Nhiễm trùng da và mô mềm Nhọt do côn trùng cắn Áp xe nhiễm trùng Vết thương viêm Mô tế bào Nhiễm trùng xương và khớp Viêm tủy xương Nhiễm trùng răng Áp xe răng Các nhiễm trùng khác Nhiễm trùng liên quan đến sẩy thai Nhiễm trùng trong ổ bụng,thuoc khang sinh
Điều trị nhiễm trùng do các chủng sinh beta-lactamase không đáp ứng với điều trị bằng aminopenicillin đơn lẻ trong thời gian dưới 14 ngày Nhiễm trùng đường hô hấp trên nặng Viêm amiđan Viêm xoang viêm tai giữa Thường được điều trị bằng kháng sinh nhưng không thuyên giảm Nhiễm trùng đường hô hấp dưới do Henzae và Moraxella catarrhalis trước đây tạo ra beta-lactamase Branhamella catarrhalis Viêm phế quản cấp tính và mãn tính Viêm phổi phế quản Nhiễm trùng đường tiết niệu nặng Nhiễm trùng tiết niệu sinh dục do các chủng E coli nhạy cảm sản xuất beta-lactamase Klebsiella và Enterobacter Viêm bàng quang Viêm bể thận Nhiễm trùng đường sinh dục nữ Nhiễm trùng da và mô mềm Nhiễm trùng sôi do côn trùng cắn Nhiễm trùng áp xe Vết thương viêm mô tế bào Nhiễm trùng xương và khớp Viêm tủy xương Nhiễm trùng nha khoa Áp xe nha khoa Các nhiễm trùng khác Nhiễm trùng liên quan đến sẩy thai Nhiễm trùng trong ổ bụng,thuoc khang sinh
Điều trị ngắn hạn dưới 14 ngày đối với các trường hợp nhiễm khuẩn do các chủng sinh beta-lactamase không đáp ứng với điều trị bằng các aminopenicillin đơn lẻ Nhiễm trùng đường hô hấp trên nặng Viêm amidan Viêm xoang viêm tai giữa Đã điều trị bằng kháng sinh thông thường nhưng không thuyên giảm Nhiễm trùng đường hô hấp dưới do chủng Henzae catarrhalis gây ra trước đây gọi là Branhamella catarrhalis sản xuất beta-lactamase Viêm phế quản cấp tính và mãn tính Viêm phổi phế quản Nhiễm trùng đường tiết niệu nghiêm trọng bộ phận sinh dục tiết niệu từ các chủng E coli sản xuất beta-lactamase nhạy cảm và viêm dạ dày ruột mềm ở phụ nữ và viêm mô ruột do nhiễm trùng nhọt Mụn nhọt Côn trùng cắn Áp xe nhiễm trùng Chấn thương mô viêm Xương và khớp Nhiễm trùng Viêm tủy xương Nhiễm trùng răng Áp xe răng Các nhiễm trùng khác Nhiễm trùng liên quan đến phá thai Nhiễm trùng trong ổ bụng,thuoc khang sinh
Điều trị trong thời gian ngắn  dưới 14 ngày  các trường hợp nhiễm khuẩn gây ra bởi các chủng sản sinh ra beta   lactamase không đáp ứng với điều trị bằng các aminopenicilin đơn độc    Nhiễm khuẩn nặng đường hô hấp trên  Viêm amidan  viêm xoang  viêm tai giữa đã được điều trị bằng các kháng sinh thông thường nhưng không giảm    Nhiễm khuẩn đường hô hấp dưới bởi các chủng H influenzae và Moraxella catarrhalis  tên trước đây  Branhamella catarrhalis  sản sinh beta   lactamase  Viêm phế quản cấp và mạn  viêm phổi   phế quản    Nhiễm khuẩn nặng đường tiết niệu   sinh dục bởi các chủng E  coli  Klebsiella và Enterobacter sản sinh beta   lactamase nhạy cảm  Viêm bàng quang  viêm niệu đạo  viêm bể thận  nhiễm khuẩn đường sinh dục nữ     Nhiễm khuẩn da và mô mềm  Mụn nhọt  côn trùng đốt  áp xe  nhiễm khuẩn vết thương  viêm mô tế bào    Nhiễm khuẩn xương và khớp  Viêm tủy xương    Nhiễm khuẩn nha khoa  Áp xe ổ răng    Nhiễm khuẩn khác  Nhiễm khuẩn do sẩy thai  nhiễm khuẩn sản  nhiễm khuẩn trong ổ bụng,thuoc khang sinh
Điều trị ngắn hạn dưới 14 ngày đối với các trường hợp nhiễm khuẩn do các chủng sinh beta-lactamase không đáp ứng với điều trị bằng các aminopenicillin đơn lẻ Nhiễm khuẩn đường hô hấp trên nặng Viêm amiđan Viêm xoang viêm tai giữa Đã điều trị bằng kháng sinh thông thường nhưng không thuyên giảm Nhiễm trùng đường hô hấp dưới do H.enzae và Moraxella catarrhalis trước đây gọi là Branhamella catarrhalis sinh beta-lactamase Viêm phế quản cấp tính và mãn tính Viêm phổi phế quản Nhiễm trùng đường tiết niệu sinh dục nặng do các chủng E coli Klebsiella và Enterobacter sinh beta-lactamase nhạy cảm Viêm bàng quang Viêm bể thận Nhiễm trùng đường sinh dục nữ da và mô mềm Nhọt Côn trùng cắn Áp xe nhiễm trùng Vết thương viêm mô tế bào Nhiễm trùng xương và khớp Viêm tủy xương Nhiễm trùng răng Áp xe răng Nhiễm trùng khác Nhiễm trùng liên quan đến sẩy thai tự nhiên Nhiễm trùng trong ổ bụng,thuoc khang sinh
