"thuoc giam dau, ha sot",Panadol Extra giảm đau hạ sốt (15 vỉ x 12 viên),"Mỗi viên nén Panadol Extra chứa:

Hoạt chất: Paracetamol 500mg, Caffeine 65mg.

Tá dược: Pregelatinised starch, Maize starch, Povidone, Potassium Sorbate,Talc, Stearic acid, Croscarmellose sodium.","Panadol Extra chứa paracetamol là một chất hạ sốt, giảm đau và caffeine là một chất tăng cường tác dụng giảm đau của paracetamol. Panadol Extra có hiệu quả trong:

Điều trị đau nhẹ đến vừa và hạ sốt bao gồm:

- Đau đầu.

- Đau nửa đầu.

- Đau cơ.

- Đau bụng kinh.

- Đau họng.

- Đau cơ xương.

- Sốt và đau sau khi tiêm vacxin.

- Đau sau khi nhổ răng hoặc sau các thủ thuật nha khoa.

- Đau răng.

- Đau do viêm xương khớp.","Người lớn (kể cả người cao tuổi) và trẻ em từ 12 tuổi trở lên. Chỉ dùng đường uống.

Nên dùng 500mg paracetamol/ 65mg caffeine đến 1000mg paracetamol/ 130mg caffeine (1 hoặc 2 viên) mỗi 4 đến 6 giờ nếu cần.

Liều tối đa hàng ngày: 4000mg/520mg (paracetamol/ caffeine).

Thời gian tối thiểu dùng liều lặp lại: 4 giờ.

Không dùng các thuốc khác có chứa paracetamol.

Không dùng quá liều chỉ định.

Trẻ em dưới 12 tuổi: không khuyến nghị dùng thuốc này cho trẻ em dưới 12 tuổi."
,"Glotadol 650 hạ sốt, giảm đau từ nhẹ đến vừa chai 200 viên","Hoạt chất: Paracetamol 650mg.

Tá dược: Tinh bột ngô, povidone K30, natri starch glycolat A, natri lauryl sulfat, magnesi stearat, hypromellose 2910, macrogol 400, propylen glycol, talc, titan dioxyd.","Hạ sốt.

Làm giảm các cơn đau từ nhẹ đến vừa như đau đầu và đau cơ thông thường, đau nhức do cảm cúm hay cảm lạnh, đau lưng, đau răng, đau do viêm khớp nhẹ và đau do hành kinh.","Người lớn và trẻ em trên 12 tuổi: uống 1 viên/lần, khoảng cách giữa các lần uống thuốc từ 4 - 6 giờ, không quá 6 viên/ngày.

Trẻ em từ 6 đến 12 tuổi: uống ½ viên/lần, khoảng cách giữa các lần uống thuốc từ 4 - 6 giờ, không quá 3 viên/ngày.
"
,"Viên sủi Efferalgan 500mg giúp giảm đau, hạ sốt (4 vỉ x 4 viên)","Paracetamol 500mg.

Tá dược: Acid citric khan, Natri carbonat khan, Natri hydrogen carbonat, Sorbitol, Natri saccharin, Natri docusat, Povidon, Natri benzoat vừa đủ cho một viên nén sủi bọt.","Thuốc dùng điều trị các chứng đau và/hoặc sốt như đau đầu, tình trạng như cúm, đau răng, nhức mỏi cơ, đau bụng kinh.","Dùng đường uống.

Hòa tan hoàn toàn viên thuốc trong một ly nước lớn và uống.

Nếu trẻ sốt trên 38,5°C, hãy làm những bước sau đây để tăng hiệu quả của thuốc điều trị:

- Cởi bỏ bớt quần áo của trẻ.

- Cho trẻ uống thêm chất lỏng.

- Không để trẻ ở nơi quá nóng.

- Nếu cần, tắm cho trẻ bằng nước ấm, có nhiệt độ thấp hơn 2°C so với thân nhiệt của trẻ.

Thời gian điều trị

Thời gian điều trị được giới hạn:

- Đến 5 ngày trong các trường hợp đau.

- Đến 3 ngày trong các trường hợp sốt.

Nếu cơn đau kéo dài hơn 5 ngày hoặc sốt kéo dài hơn 3 ngày và nếu tình trạng này xảy ra nghiêm trọng hơn hoặc có bất kỳ triệu chứng khác, không được tiếp tục sử dụng thuốc mà không có sự đồng ý của bác sĩ hoặc dược sĩ của bạn."
,"Paralmax 500mg giảm đau, hạ sốt từ nhẹ đến vừa (10 vỉ x 12 viên)","Hoạt chất: Paracetamol 500mg.

Tá dược: pregelatinized starch, natri croscarmellose, silicon dioxid, povidon K30, magnesi stearat, HPMC, PEG.","Dùng điều trị triệu chứng đau từ nhẹ đến vừa như: đau đầu, đau răng, đau bụng kinh, đau do thấp khớp, nhức mỏi cơ, cảm cúm.

- Hạ sốt trong các chứng sốt do cảm cúm hoặc do các chứng nhiễm trùng đường hô hấp.","PARALMAX được dùng bằng đường uống, không cần chú ý đến bữa ăn.

- Người lớn và trẻ em trên 12 tuổi: 1-2 viên/lần, 4-6 giờ một lần, tối đa 8 viên/ngày.

- Trẻ em 6-12 tuổi: 1/2 -1 viên/lần, 4-6 giờ một lần, tối đa 4 viên/ngày.

- Trẻ em dưới 6 tuổi: dùng dạng bào chế khác thích hợp."
,"Panadol Cảm Cúm giảm các triệu chứng sốt, đau, sung huyết mũi (15 vỉ x 12 viên)","Mỗi viên Panadol Cảm Cúm chứa:

Hoạt chất: Paracetamol 500mg, Caffeine 25mg, Phenylephrine hydrochloride 5mg.

Tá dược: Starch maize, Pre-gelatinised starch, Povidone, Eurocol Sunset yellow, Sodium lauryl sulfate, Potassium sorbate, Stearic acid, Talc, Microcrystalline cellulose, Hydroxypropyl methylcellulose, Polyethylene glycol, Titanium Dioxide, Quinoline yellow lake (El 04), Sunset yellow aluminium lake (E110).","Panadol Cảm cúm làm giảm các triệu chứng của cảm cúm như sốt, đau và xung huyết mũi.
","Chỉ dùng đường uống.

Không dùng quá liều chỉ định.

Nên sử dụng liều thấp nhất cần thiết để có hiệu quả điều trị.

Người lớn (kể cả người cao tuổi) và trẻ em từ 12 tuổi trở lên:

Nên dùng 1 hoặc 2 viên (500mg Paracetamol/25mg caffeine/5mg phenylephrine hydrochloride đến 1000mg paracetamol/50mg caffeine/10mg phenylephrine hydrochloride) mỗi lần, có thể dùng tới 4 lần/ngày.

Liều tối đa hàng ngày: 8 viên (4000mg paracetamol/200mg caffeine/40mg phenylephrine hydrochloride) trong 24 giờ.

Khoáng cách liều tối thiểu: 4 giờ.

Thời gian tối đa dùng thuốc không có tư vấn của bác sỹ: 7 ngày.

Trẻ em dưới 12 tuổi:

Không khuyến nghị dùng thuốc này cho trẻ em dưới 12 tuổi."
,Paracetamol Tab. 500mg Stella trị các triệu chứng đau từ nhẹ đến vừa (10 vỉ x 10 viên),"Thành phần hoạt chất: Paracetamol 500 mg

Thành phần tá dược: Microcrystallin cellulose, tinh bột natri glycolat, povidon K90, magnesi stearat.","Dùng trong các cơn đau từ nhẹ đến vừa và sốt, đặc biệt đối với những bệnh nhân bị chống chỉ định hay không dung nạp salicylat. Thuốc có tác động tốt trên những cơn đau nhẹ không thuộc nguồn gốc nội tạng.",Partamol Tab. 500mg được dùng bằng đường uống.
,"Bột sủi Hapacol 250 giảm đau, hạ sốt (24 gói x 1.5g)","Hoạt chất: Paracetamol 250mg.

Tá dược: Acid citric khan, manitol, đường trắng, aspartam, natri hydrocarbonat, PVP K30, màu sunset yellow, bột hương cam vừa đủ 1 gói","Hạ sốt, giảm đau cho trẻ trong các trường hợp: cảm, cúm, sốt xuất huyết, nhiễm khuẩn, nhiễm siêu vi, mọc răng, sau khi tiêm chủng, sau phẫu thuật,…","Hòa tan thuốc vào lượng nước (thích hợp cho bé) đến khi sủi hết bọt.

Cách mỗi 6 giờ uống một lần, không quá 5 lần/ngày.

Liều uống: trung bình từ 10 -15mg/kg thể trọng/lần.

Tổng liều tối đa không quá 60mg/kg thể trọng/24 giờ.

Hoặc theo phân liều sau:

Trẻ em từ 4 đến 6 tuổi: uống 1 gói/lần.

Hoặc theo chỉ dẫn của Thầy thuốc."
,"Glotadol Power giảm các cơn đau nặng, hạ sốt (10 vỉ x 10 viên)","Mỗi viên nén bao phim Glotadol Power chứa:

Hoạt chất: Paracetamol 650 mg, Cafein 65 mg

Tá dược: Natri starch glycolat A, tinh bột ngô, natri lauryl sulfat, povidon K30, silic dioxyd, talc, magnesi stearat, hypromellose 2910, macrogol 400, propylen glycol, titan dioxyd.","Thuốc được dùng giảm các cơn đau nặng như đau đầu, đau nửa đầu, đau nhức do cảm lạnh và cảm cúm, đau họng, đau lưng, đau bụng kinh, đau răng, đau do nhổ răng và đau sau khi tiêm vaccin, đau dây thần kinh, đau do viêm khớp, viêm xoang, đau cơ xương.

Thuốc còn dùng để hạ sốt nhanh chóng và hiệu quả.","Người lớn và trẻ em từ 12 tuổi trở lên: uống 1 viên/lần, khoảng cách giữa các lần uống thuốc từ 4 - 6 giờ, không dùng quá 6 viên trong vòng 24 giờ.

Nên uống trong bữa ăn hoặc sau bữa ăn."
,"Bột sủi Hapacol 150 giảm đau, hạ sốt (24 gói x 1.5g)","Hoạt chất: Paracetamol 150mg.

Tá dược: Acid citric khan, manitol, đường trắng, aspartam, natri hydrocarbonat, PVP K30, màu sunset yellow, bột hương cam vừa đủ 1 gói.","Hạ sốt, giảm đau cho trẻ trong các trường hợp: cảm, cúm, sốt xuất huyết, nhiễm khuẩn, nhiễm siêu vi, mọc răng, sau khi tiêm chủng, sau phẫu thuật,…","Hòa tan thuốc vào lượng nước (thích hợp cho bé) đến khi sủi hết bọt.

Cách mỗi 6 giờ uống một lần, không quá 5 lần/ngày.

Liều uống: trung bình từ 10 -15mg/kg thể trọng/lần.

Tổng liều tối đa không quá 60mg/kg thể trọng/24 giờ.

Hoặc theo phân liều sau:

Trẻ em từ 1 đến 3 tuổi: uống 1 gói/lần.

Hoặc theo chỉ dẫn của Thầy thuốc.

Lưu ý: Không nên kéo dài việc tự sử dụng thuốc cho trẻ mà cần có ý kiến bác sĩ khi:

- Có triệu chứng mới xuất hiện.

- Sốt cao (39.5°C) và kéo dài hơn 3 ngày hoặc tái phát.

- Đau nhiều và kéo dài hơn 5 ngày."
,"Hapacol 325 giảm đau, hạ sốt (10 vỉ x 10 viên)","Hoạt chất: Paracetamol 325mg.

Tá dược: Tinh bột biến tính, tinh bột mì, PVP K30, natri benzoat, sodium starch glycolat, magnesi stearat, talc, aerosil, màu cam E110, bột hương cam.","Điều trị các triệu chứng đau trong các trường hợp: đau đầu, đau nửa đầu, đau răng, đau nhức do cảm cúm, đau họng, đau nhức cơ xương, đau do viêm khớp, đau sau khi tiêm ngừa hay nhổ răng.

- Hạ sốt ở bệnh nhân bị cảm hay những bệnh có liên quan đến sốt.","Cách mỗi 6 giờ uống một lần.

Trẻ em từ 6 đến 12 tuổi: uống 1 viên/lần.

Người lớn và trẻ em trên 12 tuổi: uống 1 1/2 viên/lần.

Hoặc theo chỉ dẫn của Thầy thuốc.

Lưu ý:

* Liều tối đa/24 giờ:

- Đối với trẻ em: uống không quá 5 lần/ngày.

* Không nên kéo dài việc tự sử dụng thuốc mà cần có ý kiến bác sĩ khi:

- Có triệu chứng mới xuất hiện.

- Sốt cao (39,5°C) và kéo dài hơn 3 ngày hoặc tái phát.

- Đau nhiều và kéo dài hơn 5 ngày."
