,"FANTILIN 0.1% PHARBACO 15ML - GIẢM NGHẸT MŨI, SỔ MŨI, VIÊM MŨI, XOANG","Mỗi lọ chứa:

Hoạt chất: Xylometazolin hydroclorid 15mg
Tá dược: Benzalkonium clorid, natri clorid, kali dihydrophosphat, dikali hydrophosphat, Nước cất pha tiêm vừa đủ 15ml.","Otilin có chứa xylometazolin 0.1% được dùng xịt mũi cho người lớn và trẻ em trên 12 tuổi để giảm triệu chứng ngạt mũi và giảm sung huyết trong các trường hợp viêm mũi cấp hoặc mạn tính, viêm xoang, cảm lạnh, cảm mạo hoặc dị ứng đường hô hấp trên, đau đầu hoặc viêm tai giữa cấp liên quan tới sung huyết mũi.","Dùng theo chỉ dẫn của bác sĩ.
Cách dùng: để lọ thuốc ở vị trí đứng thẳng, nắp ở phía trên. Lắc lọ thuốc vài lần. Cho đầu lọ vào mũi và bấm ở phía trên; rút đầu lọ ra trước khi thả tay bấm.
Liều dùng thông thường: xịt 1 lần cho mỗi lỗ mũi, 2 – 3 lần/ngày. Mỗi ngày xịt không quá 4 lần.
Không nên dùng quá 3 ngày. Thời gian dùng liên tục tối đa là 5 ngày."
,TEOKAP SR 200MG NOBEL 3 VỈ X 10 VIÊN - THUỐC PHÒNG NGỪA HEN PHẾ,Hoạt chất: Theophylline (Teofilin) 300mg,"Làm giảm triệu chứng hoặc phòng ngừa hen phế quản và tình trạng co thắt phế - quản còn đảo ngược được ở người viêm phế quản mạn tính và khí thũng phổi.
Cơn ngừng thở ở trẻ thiếu tháng.","Người lớn:

Điều trị cơn hen cấp hoặc điều trị duy trì bệnh hen suyễn: 5 mg/kg/ngày và duy trì 10 mg/kg/ngày (đối với người khỏe mạnh không hút thuốc lá) hoặc 16 mg/kg/ngày (đối với người khỏe mạnh có hút thuốc lá).
Điều trị suy tim sung huyết hoặc suy tim bên phải: 5 mg/kg/ngày, tối đa 400 mg/ngày.
Trẻ em:

Điều trị hen suyễn: Nếu trẻ chưa dùng Theophylin trong vòng 24 giờ trước đó, dùng liều khởi đầu là 5mg/kg cho đến khi nồng độ Theophylin trong huyết thanh là 10mcg/ml. Nếu trẻ đã dùng Theophylin trong vòng 24 giờ trước đó, dùng liều khởi đầu là 2,5 mg/kg. Liều duy trì là 4 mg/kg/ngày trong 41 ngày. Sau đó, bạn cho trẻ dùng liều 10 mg/kg/ngày trong 140 ngày tiếp theo.
Điều trị chứng ngưng thở do sinh non: 4,6 mg/kg, sau đó dùng liều duy trì 1 mg/kg/12 giờ (đối với trẻ mới sinh dưới 24 ngày tuổi), 1,5 mg/kg/12 giờ (đối với trẻ mới sinh trên 24 ngày tuổi). Đối với trẻ sinh đủ tháng, liều dùng Theophylin mỗi ngày (mg) của trẻ theo công thức sau: (Số tuần tuổi của trẻ x 0,2 + 5) x cân nặng (kg); sau đó chia đều 3 lượng bằng nhau để cho trẻ dùng mỗi 8 tiếng."
,TEOKAP SR 200MG NOBEL 3 VỈ X 10 VIÊN,Hoạt chất: Theophylline (Teofilin) 200mg,"Làm giảm triệu chứng hoặc phòng ngừa hen phế quản và tình trạng co thắt phế - quản còn đảo ngược được ở người viêm phế quản mạn tính và khí thũng phổi.
Cơn ngừng thở ở trẻ thiếu tháng.","Người lớn:

Điều trị cơn hen cấp hoặc điều trị duy trì bệnh hen suyễn: 5 mg/kg/ngày và duy trì 10 mg/kg/ngày (đối với người khỏe mạnh không hút thuốc lá) hoặc 16 mg/kg/ngày (đối với người khỏe mạnh có hút thuốc lá).
Điều trị suy tim sung huyết hoặc suy tim bên phải: 5 mg/kg/ngày, tối đa 400 mg/ngày.
Trẻ em:

Điều trị hen suyễn: Nếu trẻ chưa dùng Theophylin trong vòng 24 giờ trước đó, dùng liều khởi đầu là 5mg/kg cho đến khi nồng độ Theophylin trong huyết thanh là 10mcg/ml. Nếu trẻ đã dùng Theophylin trong vòng 24 giờ trước đó, dùng liều khởi đầu là 2,5 mg/kg. Liều duy trì là 4 mg/kg/ngày trong 41 ngày. Sau đó, bạn cho trẻ dùng liều 10 mg/kg/ngày trong 140 ngày tiếp theo.
Điều trị chứng ngưng thở do sinh non: 4,6 mg/kg, sau đó dùng liều duy trì 1 mg/kg/12 giờ (đối với trẻ mới sinh dưới 24 ngày tuổi), 1,5 mg/kg/12 giờ (đối với trẻ mới sinh trên 24 ngày tuổi). Đối với trẻ sinh đủ tháng, liều dùng Theophylin mỗi ngày (mg) của trẻ theo công thức sau: (Số tuần tuổi của trẻ x 0,2 + 5) x cân nặng (kg); sau đó chia đều 3 lượng bằng nhau để cho trẻ dùng mỗi 8 tiếng."
,VIÊN NGẬM BẢO THANH NS KHÔNG ĐƯỜNG 20 VỈ X 5 VIÊN - TRỊ HO BỔ PHẾ,"Cao lỏng hỗn hợp (1:5) 590,0 mg {Tương đương Xuyên bối mẫu (Bulbus Fritillariae) 0,4g; Tỳ bà lá (Folium Eriobotryae) 0,5g, Sa sâm (Radix Glehniae) 0,1g; Phục linh (Poria) 0,1 g; Trần bì (Pericarpium Citri reticulatae perenne) 0,1g; Cát cánh (Radix platycodi grandiflori) 0,4g; Bán hạ (Rhizoma pinelliae) 0,1 g; Ngũ vị tử (Fructus Schisandrae) 0,05g; Qua lâu nhân (Semen Trichosanthis) 0,2g; Viễn chí (Radix Polygalae) 0,1 g; Khổ hạnh nhân (Semen Armeniacae amarum) 0,2g; Gừng (Rhizoma Zingiberis) 0,1g; ô mai (Fructus Mumo Praeparatus) 0,5g; Cam thảo (Radix Glycyrrhizae) 0,1g}.
Tinh dầu bạc hà (Oleum Menthae) 0,1 mg.
Tá dược (lsomalt,:Maltodextrin, acid benzoic) vừa đủ 1 viên.","Các chứng ho do cảm lạnh, nhiễm lạnh, ho gió, ho khan, ho có đờm, ho do dị ứng thời tiết. Người bị phế âm hư gây ho dai dẳng lâu ngày, miệng họng khô, cổ họng ngứa, nóng rát, khản tiếng. Hỗ trợ điều trị viêm phổi, viêm họng, viêm phế quản.","Mỗi lần ngậm 1 viên. Ngậm cho đến khi tan hết hoặc nhai trước khi nuốt.
Trẻ em từ 3-10 tuổi: ngày 3-4 lần.
Trẻ em trên 10 tuổi: ngày 5-6 lần.
Người lớn: ngày 6 - 8 lần.
Thuốc dùng được cho bệnh nhân tiểu đường, ăn kiêng."
,SACENDOL 150MG FLU VACOPHARM 20 GÓI X 1G - THUỐC CẢM CÚM,"Paracetamol: 150mg
Chlorpheniramine maleate: 1mg
Tá dược vừa đủ 1 gói","Hạ sốt, giảm đau do bệnh cảm cúm, nóng sốt, đau nhức ở trẻ em, có kèm các triệu chứng dị ứng như nhảy mũi, chảy nước mũi, dị ứng da.","Hòa trong 5–30 ml nước để uống. Không dùng paracetamol cho trẻ em để tự điều trị sốt cao (trên 39,5 độ C), sốt kéo dài trên 3 ngày, hoặc sốt tái phát, trừ khi do thầy thuốc hướng dẫn, vì sốt như vậy có thể là dấu hiệu của một bệnh nặng cần được thầy thuốc chẩn đoán nhanh chóng.

Ngày uống 3–4 lần, khoảng cách các lần dùng cách nhau 4-6 giỗ, tối đa 4 liều 24 giờ.
Trẻ em từ 1- 2 tuổi: - 1 gói/lần.
Trẻ em từ 2 – 4 tuổi 1-1,5 gói/lần.
Trẻ em từ 4 – 8 tuổi: 1,5 – 2 gói/lần.
Trẻ em từ 8 – 12 tuổi: 2 gói/lẫn.
Suy thận: Ở trẻ em, Cl < 10 ml/phút, cho cách nhau 8 giờ/lần. Người lớn: Clcr 10-50 ml/phút, cho cách nhau 6 giờ/lần, Cicr < 10 ml/phút, cho cách nhau 8 giờ lần.

Suy gan: Dùng thận trọng, dùng liều thấp, tránh dùng kéo dài. Khi một lần quên không dùng thuốc: Hãy uống càng sớm càng tốt. Tuy nhiên, nếu gần với liều kế tiếp, hãy bỏ qua liều đã quên và uống liều kế tiếp vào thời điểm như kế hoạch, không dùng bù liều đã quên."
,"TUSALENE 5MG VACOPHARM 10 VỈ X 25 VIÊN - THUỐC TRỊ HO, VIÊM MŨI DỊ ỨNG","Alimemazin tartrat 5mg.
Tá dược vđ 1 viên nén bao phim(Thành phần tá dược: Tinh bột sắn, lactose, polyvinyl pyrrolidon K30, talc, magnesi stearat, titan dioxyd, PEG 6000, hydroxypropyl methylcellulose 615, erythrosin lake, sunset yellow lake).","Điều trị triệu chứng của các dạng dị ứng như: Viêm mũi (theo mùa hoặc quanh năm), viêm kết mạc, mày đay
Điều trị triệu chứng ho khan và ho do kích ứng, đặc biệt là vào ban đêm.
Thỉnh thoảng mất ngủ (ví dụ khi đi xa), mất ngủ thoáng qua (ví dụ khi có một biến cố cảm xúc).","Thuốc dùng cho người lớn và trẻ em trên 6 tuổi.

Dùng đường uống, uống viên thuốc với một ít nước.

Dị ứng, chống ho

Điều trị triệu chứng: nên dùng trong thời gian ngắn, khoảng một vài ngày. Uống lặp lại nhiều lần trong ngày nếu cần thiết, nhưng không quá 4 lần/ngày. Nếu trị ho, chỉ nên dùng thuốc vào những lúc bị ho.
Người lớn: 1-2 viên/lần.
Trẻ em trên 6 tuổi (20kg): 0,125mg - 0,25mg/kg/lần (½ viên - 1 viên/lần)
Nên uống vào buổi tối vì thuốc có tác dụng an thần mạnh.
Tác dụng trên giấc ngủ

Uống một lần trước khi đi ngủ.
Người lớn: 5mg - 20mg (1–4 viên).
Trẻ em trên 6 tuổi: 0,25mg - 0,5mg/kg
Trẻ em từ 20kg – 40kg (6 đến 10 tuổi): 1 viên.
Trẻ em từ 40kg – 50kg (10 đến 15 tuổi): 2 viên
Khi một lần quên không dùng thuốc: Tiếp tục dùng thuốc theo chỉ định của Thầy thuốc, không dùng bù liều đã quên."
,VADOL PE VACOPHARM 100 VIÊN – THUỐC CẢM CÚM,"Paracetamol: 500mg
Dextromethorphan.HBr: 15mg
Phenylephrin.HCL: 10mg
Tá dược vừa đủ 1 viên","Trị các triệu chứng cảm sốt và nhức đầu, sổ mũi, nghẹt mũi, hắt hơi, ngứa mũi hay hầu họng, ngứa mắt và chảy nước mắt, chứng ho khan khó chịu.","Người lớn và trẻ trên 15 tuổi: uống sau khi ăn, 1 viên/lần, 2-3 lần/ngày.
Khoảng cách giữa các lần dùng tối thiểu 4-6 giờ."
,VADOL FLU DX VACOPHARM 25 VỈ X 4 VIÊN – THUỐC TRỊ CẢM CÚM,"Paracetamol: 500mg
Dextromethorphan hydrobromid: 15mg
Loratadin: 5mg
Tá dược vừa đủ 1 viên nén bao phim","Điều trị các triệu chứng do cảm cúm như đau đầu, sốt, hắt hơi, sổ mũi, viêm mũi dị ứng, mày đay, ngứa mũi hay họng, ho khan.","Các lần dùng thuốc cách nhau ít nhất 4 giờ, không quá 4g Paracetamol/ngày.
Không dùng paracetamol cho người lớn và trẻ em để tự điều trị sốt cao (trên 39,5 độ C), sốt kéo dài trên 3 ngày, hoặc sốt tái phát, trừ khi do thầy thuốc hướng dẫn.
Người lớn và trẻ em trên 12 tuổi: uống 1 viên/lần, ngày 2 lần."
,NOTZFLU VACOPHARM 10 VỈ X 12 VIÊN - THUỐC TRỊ CẢM CÚM,"Paracetamol: 250mg
Guaifenesin: 100mg
Phenylephrine hydrochloride: 5mg
Tá dược vừa đủ 1 viên","Điều trị ngắn hạn các triệu chứng cảm lạnh, ớn lạnh và cúm bao gồm ho có đàm.
Dùng hạ sốt, giảm đau có kèm theo các triệu chứng sổ mũi, nghẹt mũi, hắt hơi, ngứa mũi hay hầu họng, viêm xoang mũi, mày đay và các rối loạn của đường hô hấp trên.","Dùng đường uống. Không dùng paracetamol cho người lớn và trẻ em để tự điều trị sốt cao (trên 39,50C), sốt kéo dài trên 3 ngày, hoặc sốt tái phát, trừ khi do thầy thuốc hướng dẫn.
Người lớn và trẻ trên 12 tuổi: uống 1-2viên/lần, lặp lại mỗi 4 giờ, không quá 8 viên/ngày.
Không tự ý dùng thuốc quá 5 ngày, trừ khi có chỉ định của thầy thuốc.
Khi một lần quên không dùng thuốc: Tiếp tục dùng thuốc theo chỉ định của Thầy thuốc, không dùng bù liều đã quên."
,VACOCISTIN CAPS VACOPHARM 10 VỈ X 10 VIÊN - THUỐC LONG ĐÀM,"Carbocistein 375 mg
Tá dược vừa đủ 1 viên","Điều trị rối loạn về tiết dịch trong các bệnh đường hô hấp như viêm phế quản, viêm mũi – họng, hen phế quản, tắc nghẽn đường hô hấp cấp và mãn tính","Dùng đường uống.
Người lớn: 2 viên x 3 lần/ngày, khi đáp ứng giảm liều xuống còn 1 viên x 4 lần/ngày.
Trẻ em: Thuốc không khuyến cáo dành cho trẻ em.
Khi một lần quên không dùng thuốc: Hãy uống càng sớm càng tốt. Tuy nhiên, nếu gần với liều kế tiếp, hãy bỏ qua liều đã quên và uống liều kế tiếp vào thời điểm như kế hoạch, không dùng bù liều đã quên."
